Num_Acc;lum;departement;commune;agglomeration;intersection;meteo;type_collision;lat;long;date
202400033283.0;1;33;33030;2;3;2.0;1.0;44.601583;-0.336451;2024-05-17 12:50:00
202400033284.0;5;66;66136;2;3;1.0;3.0;42.69049277;2.88547218;2024-01-18 18:30:00
202400033285.0;1;84;84137;1;1;1.0;6.0;44.217362;5.067648;2024-05-18 11:00:00
202400033286.0;5;69;69259;1;1;1.0;2.0;45.71876;4.87181;2024-03-01 23:20:00
202400033287.0;1;41;41091;1;1;1.0;6.0;47.618;1.26;2024-04-09 19:10:00
202400033288.0;3;66;66136;1;9;1.0;2.0;42.69945;2.91132;2024-01-17 18:20:00
202400033289.0;1;83;83054;1;1;1.0;2.0;43.160685;6.048714;2024-05-17 18:30:00
202400033290.0;3;62;62820;1;1;1.0;1.0;50.352471;2.504368;2024-04-10 05:50:00
202400033291.0;5;63;63113;2;6;3.0;3.0;45.79313;3.09586;2024-01-18 07:03:00
202400033292.0;1;69;69271;2;9;1.0;3.0;45.73854029;4.93565783;2024-03-01 11:20:00
202400033293.0;1;972;97221;1;1;1.0;2.0;14.508002;-60.981481;2024-05-18 05:50:00
202400033294.0;5;57;57143;2;1;2.0;6.0;49.2639;6.09922;2024-01-17 22:00:00
202400033295.0;1;972;97231;1;1;1.0;1.0;14.535177;-61.050339;2024-05-17 12:05:00
202400033296.0;1;69;69029;2;3;1.0;3.0;45.72482;4.89053;2024-02-29 08:55:00
202400033297.0;1;51;51083;1;3;1.0;3.0;49.031186;4.844112;2024-04-09 19:30:00
202400033298.0;3;59;59601;1;1;1.0;2.0;50.07180845;4.10815673;2024-04-09 21:30:00
202400033299.0;1;51;51454;2;1;4.0;3.0;49.2281;4.03756;2024-01-18 13:50:00
202400033300.0;5;69;69199;2;3;1.0;1.0;45.7009;4.85617;2024-02-28 20:45:00
202400033301.0;1;76;76736;1;1;1.0;1.0;49.845856;0.577356;2024-04-10 16:50:00
202400033302.0;3;35;35337;1;1;2.0;7.0;48.297284;-1.819353;2024-05-18 02:00:00
202400033303.0;5;51;51454;2;2;4.0;7.0;49.244008;4.049513;2024-01-18 06:27:00
202400033304.0;1;64;64545;1;1;1.0;1.0;43.38477;-1.69673;2024-03-01 08:14:00
202400033305.0;1;2A;2A271;1;1;1.0;3.0;41.95378214;8.79091054;2024-04-08 19:00:00
202400033306.0;1;6;6064;2;1;1.0;7.0;43.764098;7.177339;2024-05-18 12:40:00
202400033307.0;1;50;50129;2;6;2.0;2.0;49.63451;-1.61367;2024-01-17 12:00:00
202400033308.0;1;62;62215;1;1;1.0;6.0;50.47999505;2.96342083;2024-02-13 13:10:00
202400033309.0;5;71;71373;1;1;1.0;6.0;46.50895244;5.06160025;2024-04-10 20:40:00
202400033310.0;1;59;59553;2;1;1.0;2.0;50.598198;2.938762;2024-05-18 14:45:00
202400033311.0;1;61;61418;1;1;8.0;6.0;48.523561;0.638778;2024-04-06 16:05:00
202400033312.0;5;49;49267;2;1;2.0;3.0;47.47142;-0.51488;2024-01-17 08:15:00
202400033313.0;1;61;61006;1;2;1.0;3.0;48.745271;-0.038772;2024-02-27 12:55:00
202400033314.0;1;68;68203;1;1;1.0;7.0;47.90687716;7.29762646;2024-05-17 17:35:00
202400033315.0;1;25;25406;1;1;1.0;1.0;47.134009;6.041965;2024-04-10 18:15:00
202400033316.0;5;45;45169;2;1;2.0;2.0;47.92779;1.841355;2024-01-18 07:35:00
202400033317.0;1;71;71570;1;1;2.0;1.0;46.858056;4.965144;2024-05-18 10:50:00
202400033318.0;5;59;59512;2;2;2.0;6.0;50.6837;3.16326;2024-02-29 06:55:00
202400033319.0;3;29;29020;1;1;1.0;6.0;48.04487457;-4.06293574;2024-04-10 00:30:00
202400033320.0;1;12;12115;1;1;3.0;7.0;43.979834;3.187661;2024-05-18 09:00:00
202400033321.0;5;45;45234;2;3;2.0;3.0;47.90998;1.933715;2024-01-18 07:50:00
202400033322.0;1;59;59286;2;6;7.0;6.0;50.612216;2.973178;2024-02-13 09:30:00
202400033323.0;1;29;29172;1;1;1.0;6.0;48.18517;-4.224946;2024-04-09 18:50:00
202400033324.0;1;38;38229;2;6;2.0;6.0;45.214974;5.780538;2024-03-27 09:30:00
202400033325.0;1;21;21650;1;1;1.0;5.0;47.255772;4.852481;2024-05-17 16:48:00
202400033326.0;5;56;56260;2;2;1.0;3.0;47.64639;-2.76288;2024-02-27 20:25:00
202400033327.0;1;45;45068;2;2;1.0;2.0;48.00498;2.71848;2024-01-18 15:45:00
