Num_Acc,id_vehicule,num_veh,catv,obs,obsm,motor
202100015557,173877,B01,7,0,9,1
202100015558,173871,B01,1,0,2,5
202100015558,173872,A01,7,0,2,1
202100015559,173869,B01,50,0,2,3
202100015559,173870,A01,7,0,2,1
202100015560,173868,A01,7,0,0,1
202100015561,173867,A01,7,0,0,1
202100015562,173866,A01,30,0,0,3
202100015563,173865,A01,7,0,1,1
202100015564,173864,A01,15,0,1,1
202100015565,173863,A01,10,0,1,1
202100015566,173862,A01,7,1,0,1
202100015567,173860,B01,1,0,2,5
202100015567,173861,A01,3,0,2,1
202100015568,173858,A01,7,0,2,1
202100015568,173859,B01,33,0,0,1
202100015569,173856,A01,7,1,0,6
202100015569,173857,B01,7,0,2,6
202100015570,173853,C01,7,0,2,1
202100015570,173854,B01,15,0,2,1
202100015570,173855,A01,33,0,2,1
202100015571,173851,B01,7,0,2,1
202100015571,173852,A01,7,0,2,1
202100015572,173850,A01,7,8,0,1
202100015573,173848,A01,7,0,2,1
202100015573,173849,B01,7,0,2,1
202100015574,173845,C01,10,0,2,1
202100015574,173846,B01,10,0,2,1
202100015574,173847,A01,10,0,2,1
202100015575,173843,A01,7,0,2,1
202100015575,173844,B01,1,0,2,5
202100015576,173841,B01,33,0,2,0
202100015576,173842,A01,7,0,2,0
202100015577,173840,A01,7,15,0,1
202100015578,173839,A01,30,0,0,1
202100015579,173837,B01,7,0,2,1
202100015579,173838,A01,7,0,2,1
202100015580,173834,B01,7,0,2,1
202100015580,173835,C01,7,0,2,1
202100015580,173836,A01,7,0,2,1
202100015581,173831,A01,7,0,2,1
202100015581,173832,B01,7,0,2,1
202100015581,173833,C01,7,0,2,1
202100015582,173828,A01,7,0,2,1
202100015582,173829,B01,7,0,2,1
202100015582,173830,C01,7,0,2,1
202100015583,173827,A01,7,0,1,1
202100015584,173826,A01,7,3,0,1
202100015585,173825,A01,7,0,1,1
202100015586,173821,B01,7,0,0,1
202100015586,173822,A01,30,14,0,1
202100015587,173819,B01,7,0,9,1
202100015587,173820,A01,50,0,2,3
202100015588,173817,B01,7,0,2,1
202100015588,173818,A01,7,0,2,1
202100015589,173815,B01,7,0,2,1
202100015589,173816,A01,32,0,2,1
202100015590,173812,A01,10,0,2,1
202100015590,173813,C01,10,0,2,1
202100015590,173814,B01,33,0,2,2
202100015591,173810,B01,32,0,2,1
202100015591,173811,A01,7,0,2,1
202100015592,173808,A01,7,0,2,0
202100015592,173809,B01,7,0,2,1
202100015593,173807,A01,32,0,0,1
202100015594,173806,A01,20,4,0,1
202100015595,173805,A01,7,0,1,1
202100015596,173804,A01,7,0,1,1
202100015597,173803,A01,7,13,0,1
202100015598,173802,A01,7,3,0,1
202100015599,173801,A01,7,13,0,1
202100015600,173799,A01,30,0,2,1
202100015600,173800,B01,14,0,2,1
202100015601,173797,B01,1,0,2,0
202100015601,173798,A01,7,0,2,1
202100015602,173795,B01,33,0,2,1
202100015602,173796,A01,7,0,2,1
202100015603,173793,B01,7,0,2,1
202100015603,173794,A01,7,0,2,1
202100015604,173789,B01,1,0,2,5
202100015604,173790,A01,37,0,2,1
202100015605,173787,A01,7,1,2,1
202100015605,173788,B01,1,0,2,5
202100015606,173784,C01,1,0,0,5
202100015606,173785,A01,7,0,2,1
202100015606,173786,B01,7,0,2,1
202100015607,173779,A01,30,0,2,1
202100015608,173778,A01,7,0,1,1
202100015609,173777,A01,7,0,1,1
202100015610,173773,A01,30,0,0,1
202100015611,173771,B01,7,0,2,1
202100015611,173772,A01,7,0,2,1
202100015612,173770,A01,7,12,0,1
202100015613,173768,A01,7,8,2,1
202100015613,173769,Z01,7,0,2,0
202100015614,173767,A01,3,8,0,1
202100015615,173765,A01,7,0,2,1
202100015615,173766,B01,33,0,2,1
202100015616,173763,B01,33,0,2,1
202100015616,173764,A01,7,0,2,1
202100015617,173761,B01,33,0,2,1
202100015617,173762,A01,7,0,2,1
202100015618,173759,A01,7,0,2,1
202100015618,173760,B01,33,0,2,1
202100015619,173756,A01,7,0,2,1
202100015619,173757,B01,7,0,2,1
202100015619,173758,C01,7,0,2,1
202100015620,173754,B01,50,0,2,3
202100015620,173755,A01,7,0,2,1
202100015621,173752,B01,33,0,2,1
202100015621,173753,A01,33,0,2,1
