"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"417 035";"A";"2022";"Métropole";"N/A";"VT";"3"
"417 036";"A";"2022";"Métropole";"L3EYAMM20003915";"Moto lourde";"3"
"417 036";"B";"2022";"Métropole";"MAU1511GF099";"VT";"23"
"417 037";"A";"2022";"Métropole";"N/A";"VT";"14"
"417 037";"B";"2022";"Métropole";"N/A";"VT";"17"
"417 038";"A";"2022";"Métropole";"L3EPGTML0000113";"Moto légère";"11"
"417 039";"A";"2022";"Métropole";"N/A";"Cyclo";"10"
"417 040";"A";"2022";"DOM";"VF1RJB009649705";"VT";"2"
"417 040";"B";"2022";"DOM";"SUU241163BB0104";"TC";"10"
"417 041";"A";"2022";"Métropole";"M10RENVP491K223";"VT";"5"
"417 041";"B";"2022";"Métropole";"M10FRDVP047W239";"VT";"7"
"417 042";"A";"2022";"Métropole";"MRE1206AR544";"VT";"23"
"417 042";"B";"2022";"Métropole";"MRE1101F7866";"VT";"21"
"417 043";"A";"2022";"Métropole";"M10CTRVP002Y686";"VT";"8"
"417 043";"B";"2022";"Métropole";"M10CTRVP114U484";"VT";"1"
"417 044";"B";"2022";"Métropole";"MRE5616H8282";"VT";"17"
"417 045";"A";"2022";"Métropole";"N/A";"VT";"29"
"417 045";"B";"2022";"Métropole";"M10PGTVP007B825";"VT";"9"
"417 046";"A";"2022";"Métropole";"N/A";"VT";"11"
"417 047";"A";"2022";"Métropole";"N/A";"Autres";"N/A"
"417 048";"A";"2022";"Métropole";"M10RENVP168R819";"VT";"9"
"417 048";"B";"2022";"Métropole";"LJS14L30J178";"Moto lourde";"16"
"417 049";"B";"2022";"Métropole";"N/A";"Moto légère";"0"
"417 049";"Z";"2022";"Métropole";"N/A";"VT";"N/A"
"417 050";"A";"2022";"Métropole";"M10FATVP000E427";"VT";"11"
"417 051";"A";"2022";"DOM";"M10FRDVP140P914";"VT";"4"
"417 052";"A";"2022";"Métropole";"L3EHNDML001F241";"Moto légère";"N/A"
"417 052";"B";"2022";"Métropole";"M10RENVP471X134";"VT";"6"
"417 053";"A";"2022";"Métropole";"MPE1102DY146";"VT";"22"
"417 053";"B";"2022";"Métropole";"M10PGTVP004P999";"VT";"9"
"417 054";"B";"2022";"Métropole";"N/A";"Autres";"10"
"417 054";"Z";"2022";"Métropole";"N/A";"Autres";"14"
"417 055";"A";"2022";"Métropole";"MCT5002PY980";"VT";"12"
"417 055";"B";"2022";"Métropole";"L3EYAMM10001296";"Moto lourde";"10"
"417 056";"A";"2022";"Métropole";"L1ESYMCL0005442";"Cyclo";"1"
"417 057";"A";"2022";"Métropole";"N/A";"VU";"15"
"417 057";"B";"2022";"Métropole";"N/A";"VU";"13"
"417 057";"C";"2022";"Métropole";"N/A";"PL";"2"
"417 058";"A";"2022";"Métropole";"N10FATCT090A305";"VU";"4"
"417 059";"A";"2022";"DOM";"N1GNSSCT0274055";"VU";"6"
"417 059";"B";"2022";"DOM";"L1EPGTCL0127324";"Cyclo";"4"
"417 060";"A";"2022";"Métropole";"N/A";"Moto lourde";"11"
"417 060";"B";"2022";"Métropole";"N/A";"VT";"17"
"417 062";"A";"2022";"Métropole";"M10RENVPA66U135";"VT";"1"
"417 062";"B";"2022";"Métropole";"M10DACVP0018439";"VT";"3"
"417 064";"A";"2022";"Métropole";"M10PGTVP070V006";"VT";"4"
"417 065";"A";"2022";"Métropole";"N/A";"VT";"58"
"417 065";"B";"2022";"Métropole";"N10MCDCT620S637";"VU";"10"
"417 066";"A";"2022";"Métropole";"L1EPGGCL001R137";"Cyclo";"1"
"417 068";"A";"2022";"Autres OM";"N/A";"VU";"26"
"417 069";"A";"2022";"Métropole";"L1EEXUCL000S012";"Cyclo";"1"
"417 069";"B";"2022";"Métropole";"MAU58C2K4938";"VT";"16"
"417 070";"A";"2022";"Métropole";"M10PGTVP072Z529";"VT";"2"
"417 071";"A";"2022";"Métropole";"N/A";"VT";"8"
"417 071";"B";"2022";"Métropole";"N/A";"VT";"3"
"417 071";"C";"2022";"Métropole";"N/A";"VT";"11"
"417 072";"A";"2022";"Métropole";"M10PGTVP071J355";"VT";"4"
"417 073";"A";"2022";"Métropole";"M10PGTVP013P675";"VT";"8"
"417 073";"B";"2022";"Métropole";"MPE5002MJ774";"VT";"19"
"417 074";"A";"2022";"Métropole";"M10RENVP0097692";"VT";"10"
"417 074";"B";"2022";"Métropole";"L3EAPRM1000V560";"Moto lourde";"1"
"417 076";"A";"2022";"Métropole";"M10CTRVP0715211";"VT";"2"
"417 077";"A";"2022";"Métropole";"N/A";"Autres";"16"
"417 077";"B";"2022";"Métropole";"N/A";"Cyclo";"15"
"417 078";"A";"2022";"Métropole";"M10RENVP0134588";"VT";"10"
"417 078";"B";"2022";"Métropole";"N/A";"Autres";"0"
"417 079";"A";"2022";"Métropole";"M30VECTC568Y642";"TC";"8"
"417 080";"A";"2022";"Métropole";"N/A";"Cyclo";"0"
"417 080";"B";"2022";"Métropole";"MRE1312EB000";"VT";"21"
"417 081";"A";"2022";"Métropole";"M10PGTVP0008829";"VT";"11"
"417 082";"A";"2022";"Métropole";"L3ETPHM2000D241";"Moto lourde";"11"
"417 083";"A";"2022";"Métropole";"MRE1011FJ171";"VT";"18"
"417 083";"B";"2022";"Métropole";"MRE5012E8572";"VT";"18"
"417 084";"A";"2022";"Métropole";"MPL51F2F2148";"VT";"13"
"417 084";"B";"2022";"Métropole";"MPE5312VX615";"VT";"13"
"417 085";"A";"2022";"Métropole";"L1EPGTCL0003138";"Cyclo";"12"
"417 085";"Z";"2022";"Métropole";"N/A";"Cyclo";"N/A"
"417 087";"A";"2022";"Métropole";"L1EDRBCL000A031";"Cyclo";"8"
"417 087";"B";"2022";"Métropole";"M10CTRVP069U493";"VT";"3"
"417 088";"A";"2022";"Métropole";"N/A";"VT";"25"
"417 089";"A";"2022";"Métropole";"MVW53S2EQ099";"VT";"16"
"417 091";"A";"2022";"Métropole";"MJT5562PU881";"VT";"15"
"417 092";"A";"2022";"Métropole";"M10RENVPC98J152";"VT";"1"
"417 092";"B";"2022";"Métropole";"M10NSSVP0266138";"VT";"5"
"417 093";"A";"2022";"Métropole";"N/A";"Autres";"18"
"417 093";"B";"2022";"Métropole";"L3EYAMM1000A984";"Moto lourde";"2"
"417 094";"A";"2022";"Métropole";"N/A";"VT";"26"
"417 094";"B";"2022";"Métropole";"M10NSSVP033M050";"VT";"4"
"417 096";"A";"2022";"Métropole";"MST1201DR340";"VT";"14"
"417 097";"A";"2022";"Métropole";"M10LEXVP0022532";"VT";"2"
"417 098";"A";"2022";"Métropole";"N/A";"VT";"N/A"
"417 098";"B";"2022";"Métropole";"N/A";"Moto lourde";"N/A"
"417 099";"A";"2022";"Métropole";"L1EAPRCL000U489";"Cyclo";"1"
"417 100";"A";"2022";"Métropole";"M10RENVSD95T902";"VU";"0"
"417 100";"B";"2022";"Métropole";"M10VWGVPF76A191";"VT";"7"
"417 101";"A";"2022";"Métropole";"N/A";"VT";"4"
"417 102";"A";"2022";"Métropole";"N/A";"VU";"0"
"417 103";"A";"2022";"Métropole";"N10FRDCT165P049";"VU";"5"
"417 104";"A";"2022";"Métropole";"MMB77G2CR305";"VT";"18"
"417 104";"Z";"2022";"Métropole";"M10DAUVS314L154";"VU";"3"
"417 105";"A";"2022";"Métropole";"L3EFWYM1000U008";"Moto lourde";"1"
"417 106";"A";"2022";"Métropole";"MPE5212VB542";"VT";"14"
"417 106";"B";"2022";"Métropole";"N/A";"VT";"8"
"417 107";"A";"2022";"Métropole";"M10RENVP522R489";"VT";"5"
"417 108";"A";"2022";"Métropole";"N/A";"VT";"11"
"417 108";"B";"2022";"Métropole";"N/A";"Moto légère";"0"
"417 109";"A";"2022";"Métropole";"M10JT0VP0533890";"VT";"0"
"417 110";"B";"2022";"Métropole";"MKA5402T2627";"VT";"14"
"417 111";"A";"2022";"Métropole";"N/A";"Moto lourde";"N/A"
"417 111";"B";"2022";"Métropole";"M10RENVPA514672";"VT";"2"
"417 112";"A";"2022";"Métropole";"LYM92E20V267";"Moto légère";"13"
"417 113";"A";"2022";"Métropole";"M10DACVP001Z757";"VT";"1"
"417 113";"B";"2022";"Métropole";"L3EYAMM20011901";"Moto lourde";"0"
"417 114";"A";"2022";"Métropole";"LPE91C10K312";"Cyclo";"11"
"417 115";"A";"2022";"Métropole";"M10RENVP0007834";"VT";"12"
"417 115";"B";"2022";"Métropole";"N/A";"Autres";"13"
"417 116";"A";"2022";"Métropole";"M10BMWVP0882751";"VT";"0"
"417 117";"A";"2022";"Métropole";"M10FATVP171R437";"VT";"2"
"417 117";"B";"2022";"Métropole";"L3EYAMM1000T809";"Moto lourde";"3"
"417 118";"A";"2022";"Métropole";"L1EGVCCL0007117";"Cyclo";"2"
"417 119";"A";"2022";"Métropole";"M10BMWVP0733113";"VT";"1"
"417 119";"B";"2022";"Métropole";"M30HEUTC000R289";"TC";"10"
"417 121";"A";"2022";"Métropole";"M10CTRVP000P557";"VT";"10"
"417 121";"B";"2022";"Métropole";"N/A";"VT";"18"
"417 122";"A";"2022";"Métropole";"MJH6604L4544";"VT";"13"
"417 122";"B";"2022";"Métropole";"MFD52H2CG506";"VT";"12"
"417 123";"A";"2022";"Métropole";"LJH18L40J183";"Moto lourde";"13"
"417 123";"B";"2022";"Métropole";"N10FATCT048R521";"VU";"6"
"417 124";"A";"2022";"Métropole";"L5EPGGTM000T914";"Moto lourde";"3"
"417 125";"A";"2022";"Métropole";"MPE5011T3267";"VT";"15"
"417 125";"B";"2022";"Métropole";"M10MAZVP001G839";"VT";"1"
"417 126";"A";"2022";"Métropole";"M10PGTVP082N482";"VT";"2"
"417 126";"B";"2022";"Métropole";"M10RENVP0005189";"VT";"12"
"417 127";"A";"2022";"Métropole";"M10CTRVP0008249";"VT";"13"
"417 127";"B";"2022";"Métropole";"LMP21C10P063";"Cyclo";"10"
"417 129";"A";"2022";"Métropole";" JS1AV133100117";"Moto lourde";"21"
"417 129";"B";"2022";"Métropole";"JMBXTGF7WDZ0008";"VT";"9"
"417 130";"A";"2022";"Métropole";"MPL1051FN266";"VT";"21"
"417 131";"A";"2022";"Métropole";"M10JT0VP016J749";"VT";"5"
"417 132";"A";"2022";"Métropole";"L3EPGGML000K146";"Moto légère";"8"
"417 132";"B";"2022";"Métropole";"N/A";"VU";"N/A"
"417 133";"A";"2022";"Métropole";"MAU1545H9153";"VT";"21"
"417 133";"B";"2022";"Métropole";"L1EPGTCL0009884";"Cyclo";"8"
"417 134";"A";"2022";"Métropole";"L1EEDGCL000D006";"Cyclo";"5"
"417 134";"B";"2022";"Métropole";"M10DACVP000P227";"VT";"9"
"417 135";"A";"2022";"Métropole";"N/A";"VT";"9"
"417 135";"B";"2022";"Métropole";"N10MCZCT0112228";"VU";"5"
"417 136";"A";"2022";"Métropole";"N/A";"VT";"N/A"
"417 137";"A";"2022";"Métropole";"N/A";"PL";"4"
"417 137";"B";"2022";"Métropole";"N/A";"Cyclo";"6"
